CompYearlyUSD,Country,EdLevelSimplified,YearsCodeNum,Employment,DevTypePrimary,RemoteCategory,SalaryLog10
174022.0,France,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,"Independent contractor, freelancer, or self-employed",Data engineer,Hybrid-InPerson,5.240604155608082
210788.0,Switzerland,Some college,25.0,Employed,Cybersecurity or InfoSec professional,Hybrid-Choice,5.323845883190773
150000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,Employed,"Developer, back-end",Hybrid-InPerson,5.176091259055681
115720.0,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45.0,Employed,Engineering manager,Hybrid-Flexible,5.063408424975945
20677.0,Romania,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",,4.315487527750822
72958.0,Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,Employed,"Developer, full-stack",Hybrid-Choice,4.86307292015494
5000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26.0,"Independent contractor, freelancer, or self-employed","Founder, technology or otherwise",,3.6989700043360187
13615.0,United Arab Emirates,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,Employed,"Developer, mobile",Remote,4.134017645675983
116000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,Employed,"Developer, desktop or enterprise applications",Hybrid-Choice,5.064457989226918
87011.0,Belgium,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,Employed,"Developer, full-stack",Hybrid-Flexible,4.939574159944101
90000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,Employed,"Developer, full-stack",Hybrid-Choice,4.954242509439325
36407.0,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,Employed,"Architect, software or solutions",Hybrid-Flexible,4.561184893789089
139218.0,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,Employed,"Developer, AI apps or physical AI",Remote,5.143695390413113
25523.0,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,Employed,"Developer, embedded applications or devices",In-person,4.406931720475127
13649.0,Argentina,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,Employed,"Developer, back-end",Hybrid-Flexible,4.13510083376572
81685.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Employed,"Developer, embedded applications or devices",Hybrid-InPerson,4.912142313382838
58007.0,Russian Federation,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,"Independent contractor, freelancer, or self-employed","Developer, back-end",,4.7634804052514905
167061.0,Belgium,Some college,42.0,Employed,"Developer, AI apps or physical AI",Remote,5.2228750766938195
195000.0,United States of America,Some college,40.0,Employed,DevOps engineer or professional,Remote,5.290034611362518
8509.0,Bangladesh,Some college,11.0,Employed,"Developer, full-stack",In-person,3.9298785236567833
145018.0,Germany,Less than secondary,41.0,Employed,"Developer, full-stack",Hybrid-Choice,5.161421911307407
155000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",27.0,Employed,"Developer, back-end",Hybrid-Flexible,5.190331698170292
80254.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,Employed,"Developer, full-stack",Remote,4.904466687614416
83531.0,Italy,Less than secondary,22.0,Employed,"Developer, back-end",Remote,4.921847680638257
109438.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,Employed,"Developer, full-stack",Remote,5.039168147635356
87561.0,Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24.0,Employed,"Developer, back-end",Hybrid-InPerson,4.94231071283196
75000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,"Independent contractor, freelancer, or self-employed","Developer, front-end",Remote,4.8750612633917
88492.0,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",,4.946904010665083
131000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Employed,"Developer, desktop or enterprise applications",Hybrid-Flexible,5.117271295655764
120000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,Employed,"Developer, full-stack",Hybrid-Flexible,5.079181246047625
2157.0,Egypt,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,Employed,"Developer, full-stack",Remote,3.333850145102545
15546.0,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,Employed,"Senior executive (C-suite, VP, etc.)",Remote,4.191618663369469
41765.0,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,Employed,Data engineer,Hybrid-Flexible,4.620812485741877
45000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",Hybrid-Choice,4.653212513775344
65663.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27.0,Employed,"Developer, full-stack",Remote,4.817320720819186
113085.0,Canada,Less than secondary,16.0,Employed,"Developer, full-stack",Remote,5.05340500236792
94235.0,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,Employed,"Developer, full-stack",Hybrid-Flexible,4.974212234891919
440856.0,Spain,Some college,7.0,Employed,"Developer, front-end",Remote,5.644296755867002
295000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24.0,Employed,Cloud infrastructure engineer,Remote,5.469822015978163
113694.0,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,Employed,"Developer, back-end",Hybrid-Flexible,5.055737546168407
80000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,Employed,"Developer, full-stack",In-person,4.903089986991944
350000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",28.0,Employed,"Developer, back-end",Remote,5.544068044350276
39445.0,Italy,Some college,6.0,Employed,"Developer, mobile",Remote,4.595991960396383
20109.0,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Employed,"Developer, full-stack",Hybrid-Flexible,4.303390474113389
43375.0,Hungary,Some college,10.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",Hybrid-Choice,4.63723948779893
4873.0,Republic of Moldova,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26.0,Employed,"Developer, mobile",Hybrid-InPerson,3.6877964113812944
87000.0,United States of America,Some college,3.0,Employed,"Developer, full-stack",Hybrid-Flexible,4.939519252618618
66017.0,Norway,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,Employed,AI/ML engineer,Hybrid-Choice,4.8196557848678365
27844.0,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,Employed,"Developer, embedded applications or devices",In-person,4.4447316250887505
185000.0,United States of America,Some college,15.0,Employed,DevOps engineer or professional,Remote,5.267171728403014
83531.0,Germany,Some college,10.0,Employed,"Developer, desktop or enterprise applications",Hybrid-Flexible,4.921847680638257
114981.0,Switzerland,Some college,9.0,Employed,"Developer, full-stack",Hybrid-Choice,5.060626081424179
150000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45.0,Employed,"Developer, full-stack",Hybrid-InPerson,5.176091259055681
200000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,Employed,"Developer, full-stack",Remote,5.301029995663981
69609.0,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",40.0,Employed,"Developer, back-end",Remote,4.842665394749131
31324.0,Italy,Some college,12.0,Employed,"Developer, back-end",Hybrid-Flexible,4.495877215295425
91018.0,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",37.0,Employed,Project manager,Hybrid-Flexible,4.959127288229188
75410.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,Employed,"Developer, full-stack",Remote,4.87742894078822
91899.0,Romania,Some college,10.0,"Independent contractor, freelancer, or self-employed","Architect, software or solutions",,4.963310785631544
156000.0,Peru,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,"Independent contractor, freelancer, or self-employed","Senior executive (C-suite, VP, etc.)",Remote,5.193124598354461
19983.0,Sri Lanka,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,Employed,"Developer, full-stack",Hybrid-InPerson,4.300660688376522
165000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,Employed,"Developer, full-stack",Remote,5.217483944213907
75410.0,Germany,Some college,35.0,Employed,Academic researcher,,4.87742894078822
104413.0,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,Employed,"Senior executive (C-suite, VP, etc.)",Hybrid-Flexible,5.018754574114343
44086.0,Portugal,Some college,32.0,Employed,"Developer, full-stack",Remote,4.644300696314782
120485.0,United Kingdom of Great Britain and Northern Ireland,Some college,14.0,Employed,"Developer, back-end",Remote,5.080932981992017
68071.0,United Kingdom of Great Britain and Northern Ireland,Some college,1.0,Employed,Academic researcher,Hybrid-InPerson,4.8329621306735255
98842.0,Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,Employed,"Developer, full-stack",Remote,4.994941524469581
46406.0,Italy,Less than secondary,39.0,Employed,"Developer, full-stack",Hybrid-InPerson,4.666574135693451
116015.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,Employed,"Developer, embedded applications or devices",Hybrid-Flexible,5.064514144365488
148499.0,Belgium,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,Employed,"Senior executive (C-suite, VP, etc.)",Remote,5.171723529101419
17402.0,Greece,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,Employed,"Developer, full-stack",Hybrid-Choice,4.240599164319883
72958.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,Employed,"Developer, back-end",Hybrid-Flexible,4.86307292015494
11530.0,Sweden,Less than secondary,26.0,Employed,"Developer, full-stack",Hybrid-Choice,4.061829307294699
6000.0,"Iran, Islamic Republic of...",Some college,10.0,Employed,Applied scientist,In-person,3.7781512503836434
94846.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40.0,Employed,Engineering manager,Remote,4.977019019836609
49011.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",28.0,Employed,"Developer, full-stack",Hybrid-Choice,4.690293563766482
58007.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",36.0,Employed,"Developer, full-stack",In-person,4.7634804052514905
102142.0,Canada,Some college,20.0,Employed,"Developer, full-stack",Hybrid-Flexible,5.0092043573423135
74878.0,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23.0,Employed,Project manager,Hybrid-Choice,4.874354235829357
3371.0,Philippines,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,Employed,"Developer, full-stack",Remote,3.5277587525209717
87011.0,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,Employed,"Architect, software or solutions",Hybrid-Choice,4.939574159944101
129334.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",33.0,Employed,"Developer, back-end",Remote,5.111712709500125
108000.0,Argentina,Some college,19.0,"Independent contractor, freelancer, or self-employed","Developer, back-end",,5.033423755486949
63808.0,Portugal,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,Employed,"Developer, full-stack",Hybrid-Flexible,4.8048751322955425
190000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",33.0,Employed,"Developer, full-stack",Remote,5.278753600952829
8357.0,China,Less than secondary,17.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",Remote,3.922050402167174
34804.0,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,Employed,Cloud infrastructure engineer,Hybrid-Choice,4.541629159983864
155000.0,United States of America,Some college,25.0,Employed,"Developer, back-end",Remote,5.190331698170292
38981.0,Austria,Less than secondary,5.0,Employed,Academic researcher,Hybrid-InPerson,4.590852976108213
41765.0,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,Employed,"Developer, front-end",Remote,4.620812485741877
116015.0,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,Employed,"Developer, full-stack",Remote,5.064514144365488
136141.0,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,Employed,"Senior executive (C-suite, VP, etc.)",In-person,5.1339889363147595
22456.0,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Employed,"Developer, embedded applications or devices",Hybrid-Choice,4.351332399626383
70000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,Employed,"Developer, full-stack",In-person,4.845098040014257
140000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,Employed,"Developer, embedded applications or devices",Hybrid-InPerson,5.146128035678238
78000.0,Argentina,Some college,18.0,Employed,"Developer, full-stack",Remote,4.892094602690481
1208.0,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,Employed,"Developer, front-end",Remote,3.082066934285113
63808.0,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,Employed,DevOps engineer or professional,Hybrid-Flexible,4.8048751322955425
210788.0,Switzerland,Some college,33.0,Employed,"Developer, back-end",Remote,5.323845883190773
248250.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,Employed,"Developer, back-end",Remote,5.394889257167419
18562.0,Portugal,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,Employed,"Developer, full-stack",Hybrid-Flexible,4.268624768335871
39923.0,Argentina,Some college,8.0,Employed,"Developer, front-end",Remote,4.601223168749906
220428.0,Netherlands,Some college,30.0,"Independent contractor, freelancer, or self-employed","Developer, back-end",Hybrid-InPerson,5.34326676020302
200000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,Employed,"Developer, back-end",Remote,5.301029995663981
202416.0,Hungary,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",32.0,Employed,"Developer, embedded applications or devices",Remote,5.306244838390451
98612.0,Finland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,Employed,Data or business analyst,Hybrid-InPerson,4.993929767037324
69609.0,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,Employed,"Developer, full-stack",Remote,4.842665394749131
165000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,Employed,"Developer, back-end",Remote,5.217483944213907
260000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,Employed,"Architect, software or solutions",Hybrid-InPerson,5.414973347970818
97682.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,Employed,"Developer, full-stack",Remote,4.9898145430342025
140000.0,Colombia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,Employed,"Developer, back-end",Remote,5.146128035678238
1000.0,Ethiopia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.0,Employed,Academic researcher,Remote,3.0
98494.0,Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,Employed,Product manager,Hybrid-Choice,4.993409775205651
135000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Employed,"Architect, software or solutions",Remote,5.1303337684950066
61996.0,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,"Independent contractor, freelancer, or self-employed",Data scientist,Remote,4.792363669595544
58828.0,Israel,Some college,25.0,Employed,Academic researcher,Hybrid-Choice,4.769584083748172
91215.0,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,Employed,Data engineer,Hybrid-Choice,4.960066262468352
60000.0,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24.0,"Independent contractor, freelancer, or self-employed","Developer, desktop or enterprise applications",,4.778151250383644
104413.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,Employed,"Developer, embedded applications or devices",Hybrid-Flexible,5.018754574114343
107894.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,Employed,"Developer, mobile",Hybrid-InPerson,5.032997294179263
92812.0,Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",33.0,Employed,"Developer, back-end",Hybrid-InPerson,4.967604131357432
80000.0,United States of America,Less than secondary,24.0,Employed,"Developer, full-stack",Remote,4.903089986991944
150819.0,Belgium,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,Employed,AI/ML engineer,Hybrid-InPerson,5.178456056887676
60000.0,United States of America,Some college,10.0,Employed,Data or business analyst,In-person,4.778151250383644
51274.0,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,Employed,"Developer, back-end",Hybrid-Choice,4.7098971990508005
140000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",29.0,Employed,"Architect, software or solutions",Remote,5.146128035678238
60518.0,Poland,Some college,14.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",,4.781884567016116
140000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",50.0,Employed,"Architect, software or solutions",Remote,5.146128035678238
145917.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Employed,Engineering manager,Hybrid-InPerson,5.164105892140872
83531.0,Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,Employed,Applied scientist,Hybrid-InPerson,4.921847680638257
162000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",28.0,Employed,"Developer, back-end",Remote,5.209515014542631
117175.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",27.0,Employed,System administrator,Hybrid-Choice,5.0688349621922475
83857.0,Sweden,Some college,18.0,Employed,"Architect, software or solutions",Hybrid-InPerson,4.923539321378414
12533.0,Morocco,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,Employed,"Developer, full-stack",Remote,4.0980550396692434
79043.0,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,Employed,"Developer, back-end",Hybrid-Flexible,4.897863415116016
150000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40.0,Employed,"Developer, full-stack",Remote,5.176091259055681
135000.0,United States of America,Some college,15.0,Employed,"Developer, back-end",Remote,5.1303337684950066
52207.0,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,Employed,"Developer, back-end",Remote,4.717728737821343
34804.0,Italy,Less than secondary,36.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",,4.541629159983864
7656.0,Russian Federation,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,Employed,Academic researcher,In-person,3.8840019247687874
109160.0,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,"Independent contractor, freelancer, or self-employed","Developer, back-end",Hybrid-Choice,5.038063526997859
12633.0,Mexico,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,Employed,"Developer, back-end",In-person,4.101506496139928
106190.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,Employed,"Architect, software or solutions",Hybrid-Flexible,5.026083620800987
76512.0,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22.0,Employed,"Developer, back-end",Hybrid-Flexible,4.883729554435681
23203.0,France,Some college,5.0,Employed,"Developer, full-stack",Hybrid-InPerson,4.36554414002947
81685.0,United Kingdom of Great Britain and Northern Ireland,Some college,14.0,Employed,"Developer, full-stack",Hybrid-InPerson,4.912142313382838
106000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Employed,"Developer, full-stack",In-person,5.02530586526477
100000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,Employed,"Developer, desktop or enterprise applications",Remote,5.0
20883.0,Spain,Less than secondary,44.0,Employed,"Developer, full-stack",Hybrid-Flexible,4.319792888480451
250000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26.0,Employed,"Developer, full-stack",Remote,5.3979400086720375
74878.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",31.0,Employed,"Developer, full-stack",Hybrid-Flexible,4.874354235829357
210000.0,United States of America,Some college,25.0,Employed,"Developer, full-stack",Hybrid-Flexible,5.3222192947339195
